Ciudad,Nombre,Descripcion,Localidad / Comuna,Barrio,Zona,Lat,Lng,N° apartamentos,N° torres,Aptos por piso,Pisos por torre (según descripción),Fecha aprox. entrega,Precio desde (COP),Área construida desde (m²),Área privada desde (m²),Habitaciones,Baños,Espacio disponible (flexible),Espacio para segundo baño,Zonas comunes,Otras características,Recorrido 3D (360°),Presentación online (video),Brochure (PDF),Google Maps,Waze,Dirección proyecto,Sala de ventas,Horario sala de ventas,Correo,URL galias.com.co,Nota
Pereira,Reserva de Llano Grande,"Bienvenido a Reserva de Llano Grande: tu nuevo hogar en Pereira
Ubicado estratégicamente en el encantador Barrio Parque Mirador de Llano Grande, este proyecto te ofrece una experiencia de vida única. Con 15 torres que se elevan con elegancia sobre el paisaje. Reserva de Llano Grande no solo te ofrece un hogar, sino un estilo de vida. Imagina despertar cada día con la mejor vista a la ciudad de Pereira
Vive cerca de todo lo que necesitas. A tan solo 25 minutos del Estadio Hernán Ramírez Villegas, 10 minutos del Hospital San Joaquín y rodeado de importantes almacenes como Éxito, PriceSmart, Alkosto y Homecenter. Además, estarás a solo 15 minutos del Centro Comercial Unicentro y a 20 minutos del Aeropuerto Matecaña.",,Parque Industrial,,"4,826881","-75,734828",300,15,4,,2026,$195.732.000,,"41,33",3,1,,Si,"Parque Infantil, Cicloruta, Zona Comercial, Salón Comunal, Senderos Peatonales, Cancha Múltiple, Gimnasio Biosaludable, Triciclódromo","Parqueadero Comunal, Zona Comercial",,,https://galias.com.co/brochures/pereira/Brochure-ReservaLlanoGrande.pdf,"https://maps.google.com/maps/dir//4.8268056,-75.7349167/@4.8268056,-75.7349167,16z",https://www.waze.com/live-map/directions?navigate=yes&utm_campaign=waze_website&utm_source=waze_website&utm_medium=lm_share_location&to=ll.4.82701962%2C-75.73455334,Parque Industrial – Sector La Reina,Parque Industrial – Sector La Reina,Lunes a Domingo 9:30 Am hasta 5:30Pm,reservadellanogrande@galias.com.co,https://galias.com.co/proyectos-en-venta/pereira/reserva-de-llano-grande/,
Pereira,Ciudad Campestre,"Ciudad Campestre: El nuevo estándar de vida en Risaralda.
¿Estás cansado del ruido y el estrés de la ciudad? ¿Buscas un lugar tranquilo y seguro para vivir con tu familia? Ciudad Campestre es el lugar perfecto para ti.
Ciudad Campestre es un proyecto de vivienda VIS ubicado en el municipio de Dosquebradas, Risaralda.
Los apartamentos de Ciudad Campestre tienen un área desde 41.24m2 y están diseñados para brindarte todo lo que necesitas para vivir cómodamente. Cuentan con 3 habitaciones, 1 baño, sala-comedor, cocina y zona de lavandería.
Además, el proyecto cuenta con una amplia gama de comodidades y servicios, incluyendo: p iscina para niños y adultos, canchas múltiples, gimnasio biosaludable, zona de juegos infantiles, zona para mascotas, huerta urbana, zona BBQ, etc.
Estas comodidades y servicios te permitirán disfrutar de una vida tranquila y relajada, sin tener que salir de tu hogar.
¿Quieres conocer más sobre Ciudad Campestre? Agenda una cita hoy mismo y descubre tu nuevo hogar.",Dosquebradas,Pradera,,,,1420,71,,,2026,$221.999.000,"45,91","41,24",3,1,,Si,"Juegos infantiles, Cancha Futbol 5, Zona de fogata, Salón Social, Cancha Múltiple, Zona de Juegos, Zona BBQ, Biogimnasio, Piscina, Zona de picnic, Triciclódromo, Avistamiento de aves, Zona de Mascotas, Huerta urbana",,,,https://galias.com.co/brochures/pereira/Brochure%20Ciudad%20Campestre.pdf,https://www.google.com/maps/d/u/1/edit?mid=1YXJZtlxdZxpZepnAAE8E88Zwq8Xa1jI&usp=sharing,https://www.waze.com/es/live-map/directions/co/risaralda/dosquebradas/av.-simon-bolivar-17-14?to=place.ChIJbyf7-8yAOI4RHKW2n39dNNE,"Dos Quebradas, sobre la Av. La Esperanza",C.C Burano Mall – Av. Simón Bolívar #17-13,Lunes a Domingo 9:30 Am hasta 5:30Pm,ciudadcampestre@galias.com.co,https://galias.com.co/proyectos-en-venta/pereira/ciudad-campestre/,
Manizales,Heliconias Ciudad Floral,"¡ Descubre Heliconias VIP en la Mega Ciudad Floral!
Un proyecto residencial con todo lo que necesitas para disfrutar al máximo.
¿Buscas un hogar que te ofrezca todo lo que necesitas para vivir al máximo? Entonces Heliconias VIP es el lugar perfecto para ti.
Este proyecto residencial ubicado en la vibrante Ciudadela Floral de Villamaría, Caldas, cuenta con 67 torres y 1,340 unidades de vivienda VIP distribuidas en 5 etapas.
Su ubicación estratégica te permite estar rodeado de naturaleza, lo que te permite disfrutar de tranquilidad y contacto con la naturaleza a pocos minutos de Villamaría – Caldas. Desde tu apartamento, podrás contemplar las hermosas montañas y los verdes campos que rodean el proyecto.
Heliconias VIP también cuenta con una amplia variedad de zonas sociales para que disfrutes al máximo de tu tiempo libre:
Piscina, Sauna, Salón social, Juegos infantiles, Bio gimnasio, Cancha múltiple, etc.
¿Quieres conocer más sobre Heliconias VIP? ¡Contáctanos ahora para reservar tu espacio exclusivo!",,,,,,1340,67,,,2026,$177.599.000,"38,48","34,99",2,1,,,"Piscina, Zona BBQ, Zona de Fogata, Sauna y Turco, Zona Picnic, Pista de Trote, Juegos infantiles, Mirador, Huerta urbana, Salón Social, Bio Gimnasio, Cancha Futbol 5, Casa de Muñecas, Cancha Múltiple, Zona de Mascotas",,,,https://galias.com.co/brochures/manizales/Brochure%20Heliconias.pdf,https://www.google.com/maps/d/u/0/viewer?mid=1jyaPn9jPF6F_nKGKlarUpBMKNi_jzZU&ll=5.064645600264138%2C-75.49884030433627&z=20,https://www.waze.com/es/live-map/directions/co/caldas/manizales/las-galias?to=place.ChIJDU782w5vR44RATPgsplVzMk,Villamaria Caldas – Sector la Floresta,Av. Santander Cra 23 No. 48-139,Lunes a Domingo 9:30 Am hasta 5:30Pm,ciudadfloral@galias.com.co,https://galias.com.co/proyectos-en-venta/manizales/heliconias-ciudad-floral/,
Manizales,Foresta de la Sultana,"Flexihogar: La nueva vivienda para las familias modernas.
Encontrar un espacio que se adapte a las transformaciones que tiene nuestra vida es todo un reto. La llegada de un nuevo integrante a la familia puede hacer que todo cambie drásticamente. Para ello, Las Galias ha creado Foresta de la Sultana, proyecto de apartamentos flexibles desde 41,38 m2 con 2 habitaciones, 1 Disponible y 1 baño que puedes adaptar como quieras. Además cuentas con más de modernas 10 zonas sociales para salir de la rutina en espacios como la huerta urbana, el biogimnasio o la zona bbq para una increíble tarde con amigos.
Tu flexihogar tiene una increíble vista a la reserva de Río Blanco y ubicación privilegiada en la ciudad de Manizales ¿Qué esperas para darle el sí a un hogar que se adapta a cada etapa de tu vida? Recibe ahora asesoría personalizada y conoce más información sobre este proyecto con nuestros consultores.",Comuna 1 Atardeceres,La Francia,,"5,061035","-75,469485",360,2,,,2026,$211.390.000,"46,76","41,38",2,1,1,Si,"Juegos Infantiles, Triciclódromo, Coworking, Billar, Bio Gimnasio, Golosa, Salón Social, Zona BBQ, Zona de Juegos, Futbolín, Huerta Urbana, Mirador, Casa de Muñecas","Parqueadero Comunal, Ascensor",,,,https://www.google.com/maps/d/viewer?mid=1jyaPn9jPF6F_nKGKlarUpBMKNi_jzZU&ll=5.064645600264138%2C-75.49884030433627&z=20,https://www.waze.com/es/live-map/directions/co/caldas/manizales/las-galias?to=place.ChIJDU782w5vR44RATPgsplVzMk,Calle 69 #8-30,Av. Santander Cra 23 No. 48-139,Lunes a Domingo 9:30 Am hasta 5:30Pm,forestadelasultana@galias.com.co,https://galias.com.co/proyectos-en-venta/manizales/foresta-de-la-sultana/,
Manizales,Mirador de los Alcázares,"Tu hogar VIP cerca de todo y en armonía con la naturaleza. ¡Descúbrelo!
¿Te pasa que si estás al contacto del medio ambiente, estás alejado de los privilegios de la ciudad y viceversa? Ten lo mejor de dos mundos en tu nuevo hogar. Las Galias te presenta Mirador de los Alcázares, tu oportunidad de vivienda propia.
Nuestro proyecto cuenta con 4 torres, apartamentos con áreas desde 30.15m2, 1 habitaciones, 1 disponible y 1 un baño. Disfruta de más de 10 modernas zonas sociales como la huerta urbana, zona de mascotas, juegos infantiles, gimnasio trx, zona de miradores y de juegos, todo en compañía de tus familiares y amigos.
Mirador de los Alcázares está ubicado en una zona privilegiada de Manizales donde tienes alcance a todo lo que tu familia necesita. Te encuentras a 5 minutos del centro de la ciudad, cuentas con acceso inmediato al transporte público y estás a pocos minutos de sectores comerciales y parque naturales.
Tu nuevo hogar está en modo natural, haz clic con el medio ambiente y mejora la calidad de vida de los que amas.",Otras,Alcazares,,"5,065682","-75,527012",954,4,,,2026,$157.582.000,"35,60","30,15",1,1,1,,"Juegos Infantiles, Zona de Mascotas, Huerta Urbana, Salón Social, Cancha Multiple, Zona de Fogata, Zona BBQ, Mirador, Zona de Juegos, Arenero, Gimnasio TRX, Coworking, Zona Picnic, Casa de Muñecas, Biogimnasio","Parqueadero Comunal, Zona Comercial, Ascensor",,,https://galias.com.co/brochures/manizales/Info%20Mirador%20de%20Los%20Alc%C3%A1zares.pdf,https://www.google.com/maps/d/viewer?mid=1jyaPn9jPF6F_nKGKlarUpBMKNi_jzZU&ll=5.064645600264138%2C-75.49884030433627&z=20,https://www.waze.com/es/live-map/directions/co/caldas/manizales/las-galias?to=place.ChIJDU782w5vR44RATPgsplVzMk,Calle 5 # 25-60,Av. Santander Cra 23 No. 48-139,Lunes a Domingo 9:30 Am hasta 5:30Pm,miradordelosalcazares@galias.com.co,https://galias.com.co/proyectos-en-venta/manizales/mirador-de-los-alcazares/,
Manizales,Portal de los Cambulos,"Rodearse bien es abrir las puertas a una mejor calidad de vida
El bienestar que buscas para tu familia se encuentra cuando escoges el lugar indicado para iniciar una nueva historia. Las Galias te presenta Portal de Cámbulos, un lugar donde tu nuevo hogar se rodea de todo lo que necesitas.
Nuestro proyecto cuenta con 3 torres, apartamentos con áreas desde 44.71m2, 3 habitaciones, 1 baño, 1 disponible y modernas zonas sociales para que compartas en familia de espacios como el gimnasio biosaludable, los juegos infantiles y la cancha múltiple.
Disfruta de tener todo a tu alcance, en Portal de los Cámbulos tienes acceso a movilización y transporte público gracias a la Vía Panamericana, ubicada a un paso del proyecto y que te conecta con puntos de interés como el Terminal de transporte de Manizales o la Estación de cable aéreo.
Una mejor calidad de vida para los tuyos es lo que siempre soñaste. Conoce Portal de los Cámbulos y tu nuevo hogar se hará cargo de hacerlo realidad.",Otras,La Castellana,,"5,047327","-75,505959",532,3,,,2026,$211.390.000,"52,03","44,71",2,1,1,Si,"Juegos Infantiles, Bio Gimnasio, Cancha Múltiple, Zonas Verdes","Parqueadero Comunal, Senderos Peatonales",,,https://galias.com.co/brochures/manizales/CAMBULOS.pdf,https://www.google.com/maps/d/viewer?mid=1jyaPn9jPF6F_nKGKlarUpBMKNi_jzZU&ll=5.064645600264138%2C-75.49884030433627&z=20,https://www.waze.com/es/live-map/directions/co/caldas/manizales/las-galias?to=place.ChIJDU782w5vR44RATPgsplVzMk,Carrera 43 # 66- 74,Av. Santander Cra 23 No. 48-139,Lunes a Domingo 9:30 Am hasta 5:30Pm,portaldeloscambulos@galias.com.co,https://galias.com.co/proyectos-en-venta/manizales/portal-de-los-cambulos/,
Bogotá,Boreas 175 II,"Bóreas 175 II: Apartamentos VIS en Usaquén, Bogotá
Bienvenido a Bóreas 175 II, un proyecto de vivienda pensado para familias que buscan comodidad, accesibilidad y un estilo de vida conectado en el norte de la ciudad. Aquí encuentras espacios modernos, seguros y funcionales que aprovechan cada metro cuadrado para brindarte bienestar y calidad de vida.
Ubicación Estratégica
Vive en Usaquén, una zona en crecimiento y con una oferta única de movilidad y servicios.
A pocos minutos de la Autopista Norte, el Portal 170 de TransMilenio y centros comerciales como Santa Fe y Cedritos. Además, tendrás cerca colegios, universidades y clínicas que facilitan tu día a día.
Un conjunto diseñado para el futuro
Bóreas 175 II está compuesto por 3 torres de gran altura, con edificios de 27 y 28 pisos y un total de 783 apartamentos VIS.
Cada torre integra terrazas verdes transitables, excelente iluminación natural y espacios pensados para que vivas con tranquilidad, seguridad y armonía.
Espacios que inspiran vida
El proyecto cuenta con una plataforma comunal central donde convergen actividades para todas las edades. Un espacio creado para compartir, descansar y disfrutar.
Zonas infantiles.
Áreas recreativas al aire libre.
Senderos y espacios verdes.
Edificio comunal con lobby, portería, casilleros y zonas de encuentro.
Además, Bóreas 175 II incorpora 500 m² de comercio zonal, perfecto para tener servicios esenciales a pocos pasos de tu hogar.
Tu nuevo comienzo está aquí
Bóreas 175 II es un proyecto creado para quienes quieren avanzar, invertir y proyectarse en una zona que sigue transformándose.
No es solo un conjunto residencial: es una nueva manera de vivir el norte de Bogotá, con calidad, diseño y oportunidades reales.
Bóreas 175 II: una oportunidad con futuro, hecha para ti.",,,,,,783,3,,,2028,$300.692.000,"42,70","37,85",1,1,1,Si,"Piscina, Terraza BBQ, Zona de Fogata, Juegos Infantiles, Gimnasio, Pista de Trote, Terraza transitable, Coworking, Forest Zone, Zona de Juegos, Salón Social, Cancha Múltiple, Terraza Teppanyaki",Parqueadero Comunal,Recorrido 360: https://my.matterport.com/show/?m=CVK3BfkmjL8,https://www.youtube.com/watch?v=XGDWU-qysUo,https://galias.com.co/brochures/bogota/Brochure_Boreas175_II.pdf,https://www.google.com/maps/d/viewer?mid=1MKJMbT2AwObuS9PqzUWOpprxia0pNvE&ll=4.755773300000007%2C-74.0450116&z=17,https://www.waze.com/es/live-map/directions?to=ll.4.75590257%2C-74.04493332,Calle 175 N° 22 – 10,Calle 175 N° 22 – 10,Lunes a Domingo 9:00 Am hasta 5:00 Pm,boreas175@galias.com.co,https://galias.com.co/proyectos-en-venta/bogota/boreas-175-ii/,No estaba en la tabla original; aparece en el listado de galias.com.co.
Bogotá,Parque Central Fontibón 2,"¿Buscas el lugar correcto para iniciar una nueva historia?
Sabes que estás en lugar indicado cuando tienes una sensación de confianza y tranquilidad, algo así como estar de nuevo en casa. Conoce Parque Central de Fontibón ll, tu oportunidad de vivienda propia.
Nuestro proyecto cuenta con espacios desde 38.00m²,2 habitaciones, 1 baño e increíbles zonas sociales como piscina para adultos y niños, gimnasios, parque infantil y terrazas transitables para que compartas de atardeceres capitalinos en familia.
Disfruta de una ubicación privilegiada en Fontibón, sector que ha crecido exponencialmente los últimos años gracias al comercio e industrialización de la zona que te permite cercanía al transporte público y las vías principales como Av. Calle 13, vía que te conecta con municipios aledaños a Bogotá como Mosquera y Funza.
Es hora de darle un lugar correcto a tus sueños, Parque Central Fontibón ll espera por ti.",,,,,,816,3,,,,$213.525.000,"42,21","38,00",2,1,,,"Parque Infantil, Piscina, Salón Social, Gimnasio, Bio Gimnasio, Zona BBQ, Terraza Transitable, Piscina para adultos, Gimnasio Semidotado, Salón Comunal, Gimnasio Biosaludable, Terrazas Transitables","Año de entrega: 2024, Parqueadero Comunal, Terraza Transitable, Ascensor",,https://www.youtube.com/watch?v=37P-DHzOa1c,,"https://maps.google.com/maps/dir//Cra.+100+%2316c-80+Fontib%C3%B3n+Bogot%C3%A1/@4.6700316,-74.1491523,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8e3f9cf518686371:0x1ce1c57717c7d826",https://www.waze.com/live-map/directions?latlng=4.6703661%2C-74.1470234&navigate=yes,Carrera 100 # 16c-80,Carrera 100 # 16c-80,Lunes a Domingo 9:30 Am hasta 5:30 Pm,parquecentralfontibon@galias.com.co,https://galias.com.co/proyectos-en-venta/bogota/parque-central-fontibon-2/,No estaba en la tabla original; aparece en el listado de galias.com.co.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuente: fichas de proyecto en galias.com.co, consultadas el 2026-09-15. Las 5 filas sombreadas al final están en galias.com.co pero no en la tabla original. Correo decodificado de la protección de Cloudflare del sitio.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
